ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,1
2,1,15,25.0,0.552,69.0,1
3,1,15,25.0,0.552,69.0,1
4,1,15,25.0,0.552,69.0,2
5,1,15,25.0,0.552,69.0,1
6,1,15,25.0,0.552,69.0,2
7,1,15,25.0,0.552,69.0,2
8,1,15,25.0,0.552,69.0,1
9,1,15,25.0,0.552,69.0,1
10,1,15,25.0,0.552,69.0,1
11,1,15,25.0,0.552,69.0,1
12,1,15,25.0,0.552,69.0,1
13,1,15,25.0,0.552,69.0,2
14,1,15,25.0,0.552,69.0,1
15,1,15,25.0,0.552,69.0,2
16,1,15,25.0,0.552,69.0,1
17,1,15,25.0,0.552,69.0,1
18,1,15,25.0,0.552,69.0,2
19,1,15,25.0,0.552,69.0,2
20,1,15,25.0,0.552,69.0,2
21,2,22,25.0,0.8280000000000001,103.5,2
22,2,22,25.0,0.8280000000000001,103.5,1
23,2,22,25.0,0.8280000000000001,103.5,2
24,2,22,25.0,0.8280000000000001,103.5,1
25,2,22,25.0,0.8280000000000001,103.5,2
26,2,22,25.0,0.8280000000000001,103.5,1
27,2,22,25.0,0.8280000000000001,103.5,1
28,2,22,25.0,0.8280000000000001,103.5,1
29,2,22,25.0,0.8280000000000001,103.5,2
30,2,22,25.0,0.8280000000000001,103.5,2
31,2,22,25.0,0.8280000000000001,103.5,1
32,2,22,25.0,0.8280000000000001,103.5,1
33,2,22,25.0,0.8280000000000001,103.5,2
34,2,22,25.0,0.8280000000000001,103.5,1
35,2,22,25.0,0.8280000000000001,103.5,2
36,2,22,25.0,0.8280000000000001,103.5,1
37,2,22,25.0,0.8280000000000001,103.5,2
38,2,22,25.0,0.8280000000000001,103.5,1
39,2,22,25.0,0.8280000000000001,103.5,2
40,2,22,25.0,0.8280000000000001,103.5,1
