ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,2
2,1,15,25.0,0.552,69.0,1
3,1,15,25.0,0.552,69.0,2
4,1,15,25.0,0.552,69.0,1
5,1,15,25.0,0.552,69.0,1
6,1,15,25.0,0.552,69.0,1
7,1,15,25.0,0.552,69.0,1
8,1,15,25.0,0.552,69.0,1
9,1,15,25.0,0.552,69.0,2
10,1,15,25.0,0.552,69.0,2
11,1,15,25.0,0.552,69.0,2
12,1,15,25.0,0.552,69.0,1
13,2,22,25.0,0.8280000000000001,103.5,1
14,2,22,25.0,0.8280000000000001,103.5,2
15,2,22,25.0,0.8280000000000001,103.5,1
16,2,22,25.0,0.8280000000000001,103.5,1
17,2,22,25.0,0.8280000000000001,103.5,1
18,2,22,25.0,0.8280000000000001,103.5,1
19,2,22,25.0,0.8280000000000001,103.5,2
20,2,22,25.0,0.8280000000000001,103.5,1
21,2,22,25.0,0.8280000000000001,103.5,1
22,2,22,25.0,0.8280000000000001,103.5,2
23,2,22,25.0,0.8280000000000001,103.5,2
24,2,22,25.0,0.8280000000000001,103.5,1
