ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,1
2,1,15,25.0,0.552,69.0,2
3,1,15,25.0,0.552,69.0,1
4,1,15,25.0,0.552,69.0,2
5,1,15,25.0,0.552,69.0,2
6,1,15,25.0,0.552,69.0,2
7,1,15,25.0,0.552,69.0,1
8,1,15,25.0,0.552,69.0,1
9,1,15,25.0,0.552,69.0,1
10,2,22,25.0,0.8280000000000001,103.5,1
11,2,22,25.0,0.8280000000000001,103.5,1
12,2,22,25.0,0.8280000000000001,103.5,2
13,2,22,25.0,0.8280000000000001,103.5,2
14,2,22,25.0,0.8280000000000001,103.5,1
15,2,22,25.0,0.8280000000000001,103.5,1
16,2,22,25.0,0.8280000000000001,103.5,1
17,2,22,25.0,0.8280000000000001,103.5,2
18,2,22,25.0,0.8280000000000001,103.5,2
